gender,age,height,weight,race,major,year,centre
Male,21.18,170.87,65.82,White,Biology,2001,Campus
Female,20.66,171.14,64.56,White,Political Science,2000,Online
Female,20.51,169.4,64.13,White,Biology,2002,Online
Female,23,171.76,66.2,White,Environmental Sciences,2001,Online
Male,20.5,170.6,66.53,White,Economics and Finance,2000,Online
Female,19.79,169.88,64.4,White,Social Sciences,2002,Online
Female,20.43,170.99,66.67,White,Environmental Sciences,2001,Online
Male,19.07,170.11,65.2,White,Mathematics and Statistics,2000,Campus
Male,19.58,170.41,65.99,White,Environmental Sciences,2002,Campus
Female,19.66,170.34,64.93,White,Political Science,2001,Campus
Female,21.81,173.04,67.47,White,Biology,2000,Online
Male,20.23,170.39,66.12,White,Environmental Sciences,2002,Online
Female,19.58,169.63,65.52,White,Economics and Finance,2001,Online
Female,20.61,170.36,67.07,White,Political Science,2000,Online
Female,20.18,169.82,65.33,White,Social Sciences,2002,Online
Male,20.68,170.4,65.75,White,Economics and Finance,2001,Campus
Female,20.42,170.05,65.2,White,Environmental Sciences,2000,Campus
Male,20.86,170.85,65.24,White,Political Science,2002,Online
Female,19.18,168.95,64.79,White,Social Sciences,2001,Online
Male,20.19,170.59,66.18,White,Political Science,2000,Online
Male,17.41,169.4,65.07,White,Economics and Finance,2002,Online
Male,20.81,169.42,65.2,White,Environmental Sciences,2001,Campus
Female,19.74,170.48,66.65,White,Political Science,2000,Online
Female,21.14,171.44,65.53,White,Social Sciences,2002,Online
Male,20.3,170.93,64.11,White,Economics and Finance,2001,Online
Male,21.37,172.02,66.07,White,Political Science,2000,Online
Male,19.29,169.17,63.37,White,Mathematics and Statistics,2002,Online
Female,20.83,170.45,64.45,White,Political Science,2001,Campus
Female,20.1,169.07,64.43,White,Mathematics and Statistics,2000,Online
Female,20.03,169.91,65.1,White,Social Sciences,2002,Online
Male,20.93,171.03,65.96,White,Mathematics and Statistics,2001,Campus
Female,21.98,171.8,67.89,White,Social Sciences,2000,Campus
Female,20.42,170.45,63.74,White,Economics and Finance,2002,Online
Male,20.42,170.83,65.46,White,Biology,2001,Online
Male,18.36,169.07,65.43,White,Economics and Finance,2000,Online
Male,19.28,169.29,65.89,White,Political Science,2002,Online
Female,18.67,169.23,65.48,White,Environmental Sciences,2001,Campus
Male,19.8,168.5,63.19,White,Mathematics and Statistics,2000,Online
Female,19.53,170.62,64.84,White,Mathematics and Statistics,2002,Online
Female,22.26,171.98,65.74,White,Mathematics and Statistics,2001,Campus
Male,18.76,169.31,64.37,White,Environmental Sciences,2000,Online
Male,20.32,171.21,65.32,White,Environmental Sciences,2002,Online
Male,21.9,171.1,63.74,White,Economics and Finance,2001,Online
Male,20.5,170.37,66.36,White,Environmental Sciences,2000,Campus
Female,20.64,170.54,65.31,White,Social Sciences,2002,Online
Female,18.05,169.32,63.81,White,Biology,2001,Online
Female,18.89,169.83,64,White,Economics and Finance,2000,Online
Male,19.73,169.84,65.53,White,Social Sciences,2002,Campus
Male,18.56,169.72,66.32,White,Biology,2001,Campus
Male,18.7,169.6,62.68,White,Economics and Finance,2000,Online
Female,18.43,168.5,64.8,White,Political Science,2002,Campus
Female,19.73,170.87,65.36,White,Political Science,2001,Online
Male,19.73,169.73,64.62,White,Environmental Sciences,2000,Campus
Male,19.57,169.54,64.28,White,Mathematics and Statistics,2002,Online
Male,19.3,169.78,64.79,White,Biology,2001,Campus
Male,20.61,169.87,64.45,White,Economics and Finance,2000,Campus
Female,18.5,169.98,63.99,White,Biology,2002,Campus
Female,19.46,169.4,65.7,White,Environmental Sciences,2001,Online
Female,19.21,168.67,64.96,White,Social Sciences,2000,Online
Male,20.25,169.19,64.23,White,Economics and Finance,2002,Online
Male,20.2,169.55,65.63,White,Mathematics and Statistics,2001,Campus
Female,19.74,169.95,64.56,White,Economics and Finance,2000,Online
Male,21.38,171.28,66.41,White,Environmental Sciences,2002,Online
Female,22.84,172.41,67.16,White,Political Science,2001,Online
Female,20.92,170.34,63.72,White,Economics and Finance,2000,Online
Female,18.67,168.94,64.46,White,Political Science,2002,Campus
Male,20.44,170.74,66.63,White,Economics and Finance,2001,Online
Female,20.21,169.1,64.5,White,Economics and Finance,2000,Campus
Male,19.7,169.65,65.89,White,Biology,2002,Campus
Male,19.58,169.03,65.54,White,Environmental Sciences,2001,Online
Male,20.16,170.71,64.87,White,Political Science,2000,Campus
Male,19.36,168.6,64.24,White,Mathematics and Statistics,2002,Campus
Male,20.78,172.31,66.75,White,Mathematics and Statistics,2001,Online
Male,19.25,170.13,65.4,White,Economics and Finance,2000,Online
Male,19.02,169.92,64.49,White,Economics and Finance,2002,Online
Female,19.89,169.39,64.47,White,Political Science,2001,Campus
Female,21.09,170.21,65.81,White,Social Sciences,2000,Online
Female,20.01,170.55,64.66,White,Economics and Finance,2002,Online
Male,19.73,169.22,66.06,White,Social Sciences,2001,Online
Male,20.34,170.84,64.43,White,Mathematics and Statistics,2000,Online
Female,19.82,170.05,64.85,White,Social Sciences,2002,Campus
Female,21.31,171.13,65.46,White,Political Science,2001,Online
Female,19.81,170.92,65.42,White,Mathematics and Statistics,2000,Online
Female,18.45,170.19,65.12,White,Political Science,2002,Campus
Male,18.92,170.95,65.03,White,Economics and Finance,2001,Online
Male,20.13,170.31,63.97,White,Biology,2000,Online
Female,20.01,170.93,66.76,White,Biology,2002,Campus
Female,20.45,170.9,66.07,White,Political Science,2001,Campus
Male,20.53,170.45,65.52,White,Political Science,2000,Online
Female,18.9,169.58,63.65,White,Political Science,2002,Online
Male,19.17,169.96,64.62,White,Environmental Sciences,2001,Online
Male,18.1,170.01,64.89,White,Environmental Sciences,2000,Online
Male,20.57,169.51,64.57,White,Economics and Finance,2002,Online
Female,18.01,168.32,64.63,White,Social Sciences,2001,Campus
Female,20.31,169.89,65.08,White,Biology,2000,Online
Female,19.49,169.95,66.25,White,Biology,2002,Online
Female,20.7,170.9,65.5,White,Economics and Finance,2001,Online
Female,20.37,170.27,65.67,White,Economics and Finance,2000,Campus
Male,20.09,170.64,64.52,White,Mathematics and Statistics,2002,Campus
Male,19.71,169.84,64.51,White,Political Science,2001,Campus
Male,20.68,169.12,63.88,White,Mathematics and Statistics,2000,Campus
Female,22.8,172.3,66.66,White,Social Sciences,2002,Online
Female,19.73,170.49,65.94,White,Political Science,2001,Online
Male,20.07,169.12,63,White,Biology,2000,Online
Female,20.66,170.06,64.94,White,Political Science,2002,Online
Male,20.37,170.13,64.71,White,Political Science,2001,Online
Male,20.31,171.09,66.06,White,Environmental Sciences,2000,Online
Male,21.03,170.09,65.32,White,Political Science,2002,Campus
Female,19,168.23,62.41,White,Political Science,2001,Online
Female,20.41,170.42,66.69,White,Biology,2000,Online
Male,19.38,169.09,65.78,White,Mathematics and Statistics,2002,Online
Female,20.57,169.46,65.48,White,Political Science,2001,Online
Male,20,169,63.07,White,Political Science,2000,Online
Female,20.53,171.4,65.86,White,Political Science,2002,Online
Male,19.55,170.05,65.39,White,Economics and Finance,2001,Campus
Male,21.09,171.07,65.07,White,Biology,2000,Online
Male,19.64,168.42,65.5,White,Mathematics and Statistics,2002,Campus
Male,18.23,168.74,65.64,White,Biology,2001,Online
Male,19.81,170.07,64.57,White,Mathematics and Statistics,2000,Online
Male,19.17,170.03,64.31,White,Economics and Finance,2002,Campus
Female,19.63,170.13,65.24,White,Biology,2001,Online
Female,21.38,171.07,65.48,White,Biology,2000,Campus
Male,19.46,169.56,63.91,White,Mathematics and Statistics,2002,Online
Male,19.17,170.52,64.2,White,Political Science,2001,Campus
Male,20.71,169.53,64.78,White,Environmental Sciences,2000,Campus
Male,19.29,169.64,64.71,White,Social Sciences,2002,Campus
Female,20.14,168.92,64.21,White,Biology,2001,Campus
Male,21.48,169.18,65.49,White,Environmental Sciences,2000,Campus
Male,19.6,168.32,65.96,White,Mathematics and Statistics,2002,Online
Female,20.72,169.99,64.75,White,Social Sciences,2001,Online
Male,20.2,170,65.59,White,Economics and Finance,2000,Online
Male,20.84,170.97,67.8,White,Mathematics and Statistics,2002,Online
Male,18.72,169.39,64.55,White,Mathematics and Statistics,2001,Campus
Female,19.93,170.85,63.82,White,Biology,2000,Campus
Male,18.23,169.26,63.04,White,Economics and Finance,2002,Campus
Female,19.92,169.74,63.97,White,Political Science,2001,Online
Female,19.74,168.54,65.07,White,Environmental Sciences,2000,Campus
Male,20.58,169.98,65.3,White,Environmental Sciences,2002,Online
Male,20.17,169.6,64.15,White,Mathematics and Statistics,2001,Online
Male,19.12,170.17,63.88,White,Economics and Finance,2000,Online
Female,21.67,170.75,66.31,White,Environmental Sciences,2002,Campus
Female,18.82,169.02,62.91,White,Environmental Sciences,2001,Online
Male,20.79,170.68,64.53,White,Mathematics and Statistics,2000,Online
Female,22.68,171.42,66.69,White,Mathematics and Statistics,2002,Campus
Male,18.45,168.55,64.86,White,Economics and Finance,2001,Campus
Female,21.53,171.3,66.86,White,Social Sciences,2000,Online
Male,19.73,170.61,65.15,White,Mathematics and Statistics,2002,Campus
Female,20.11,170.83,65.25,White,Mathematics and Statistics,2001,Campus
Female,20.34,171.33,66.31,White,Economics and Finance,2000,Campus
Female,20.55,170.27,65.66,White,Environmental Sciences,2002,Online
Male,18.89,168.36,64.84,White,Biology,2001,Campus
Male,20.34,169.57,63.8,White,Mathematics and Statistics,2000,Campus
Male,20.48,169.87,67.19,White,Environmental Sciences,2002,Online
Female,21.41,171.28,65.06,White,Biology,2001,Online
Female,18.68,167.97,63.65,White,Environmental Sciences,2000,Campus
Female,20.37,169.91,63.53,White,Social Sciences,2002,Campus
Male,20.76,170.63,65.1,White,Environmental Sciences,2001,Online
Male,21.37,170.1,66.96,White,Political Science,2000,Online
Male,20.51,169.97,65.82,White,Biology,2002,Online
Male,21.29,169.23,65.48,White,Mathematics and Statistics,2001,Campus
Female,20.25,170.13,65.15,White,Political Science,2000,Online
Male,21.05,172.05,67.12,White,Environmental Sciences,2002,Online
Male,20.93,171.25,65.98,White,Biology,2001,Campus
Male,20.02,169.94,64.55,White,Economics and Finance,2000,Online
Male,20.15,171.15,65.14,White,Mathematics and Statistics,2002,Online
Male,19.03,169.03,64.59,White,Mathematics and Statistics,2001,Online
Male,20.42,169.5,65.28,White,Social Sciences,2000,Online
Male,17.63,168.04,64.91,White,Social Sciences,2002,Online
Male,20.07,168.87,63.91,White,Biology,2001,Online
Male,21.32,170.16,64.67,White,Environmental Sciences,2000,Online
Male,19.03,168.57,65.3,White,Political Science,2002,Online
Female,19.69,169.43,65.12,White,Political Science,2001,Online
Male,20.99,170.62,64.99,White,Mathematics and Statistics,2000,Online
Female,20.26,171.36,64.89,White,Biology,2002,Campus
Female,21.23,169.93,66.21,White,Biology,2001,Online
Male,17.32,168.43,62.08,White,Biology,2000,Online
Male,20.12,169.48,64.31,White,Mathematics and Statistics,2002,Online
Female,21.02,170.83,65.61,White,Political Science,2001,Campus
Male,21.21,171.23,67.34,White,Environmental Sciences,2000,Online
Male,20.05,168.87,64.81,White,Environmental Sciences,2002,Online
Female,18.76,168.85,64.06,White,Political Science,2001,Campus
Female,22.19,171.47,65.96,White,Environmental Sciences,2000,Campus
Female,20.64,171.43,66.78,White,Political Science,2002,Online
Male,18.89,170.36,64.41,White,Economics and Finance,2001,Online
Female,19.83,170.24,63.88,White,Environmental Sciences,2000,Campus
Male,20.3,170.19,64.97,White,Economics and Finance,2002,Campus
Male,21.27,170.39,66.26,White,Environmental Sciences,2001,Campus
Female,20.88,172.63,66.16,White,Mathematics and Statistics,2000,Online
Female,18.41,169.29,64,White,Political Science,2002,Online
Female,17.79,168.9,64,White,Environmental Sciences,2001,Campus
Male,20.67,171.6,66.65,White,Biology,2000,Online
Female,19.61,169.48,62.82,White,Political Science,2002,Online
Male,20.38,169.69,65.8,White,Social Sciences,2001,Online
Male,19.34,169.37,64.24,White,Environmental Sciences,2000,Campus
Female,18.45,169.94,63.15,White,Environmental Sciences,2002,Campus
Female,20.1,170.23,65.03,White,Environmental Sciences,2001,Online
Female,20.39,169.51,65.18,White,Environmental Sciences,2000,Online
Male,19.74,171.01,64.72,White,Mathematics and Statistics,2002,Campus
Male,19.24,170.98,66.14,White,Economics and Finance,2001,Online
Female,20.85,169.6,64.96,White,Political Science,2000,Campus
Female,20.32,169.9,64.88,White,Social Sciences,2002,Online
Male,19.13,168.76,63.38,White,Mathematics and Statistics,2001,Campus
Female,21.27,171.74,66.88,White,Political Science,2000,Online
Male,18.74,169.55,64.56,White,Environmental Sciences,2002,Online
Male,19.81,170.18,67.34,White,Mathematics and Statistics,2001,Campus
Male,18.72,168.8,64.6,White,Biology,2000,Campus
Female,20.45,170.37,64.22,White,Biology,2002,Online
Male,20.8,170.89,66.02,White,Environmental Sciences,2001,Online
Female,17.55,169.17,63.65,White,Environmental Sciences,2000,Online
Female,21.16,171.38,67.19,White,Political Science,2002,Online
Female,20.09,169.9,64.3,White,Political Science,2001,Online
Female,20.26,169.5,64.45,White,Biology,2000,Campus
Female,22.38,172.8,66.72,White,Environmental Sciences,2002,Online
Female,18.01,168.72,64.12,White,Social Sciences,2001,Online
Male,18.73,168.43,63.41,White,Mathematics and Statistics,2000,Online
Female,21.31,170.79,65.8,White,Political Science,2002,Online
Male,21.72,170.11,64.28,White,Environmental Sciences,2001,Campus
Female,19.9,169.74,64.41,White,Biology,2000,Online
Female,21.22,172.02,66.2,White,Biology,2002,Online
Female,18.89,169.36,65.77,White,Biology,2001,Online
Male,19.29,169.27,64.84,White,Economics and Finance,2000,Campus
Male,19.87,169.56,66.37,White,Mathematics and Statistics,2002,Campus
Female,18.9,168.51,65.63,White,Social Sciences,2001,Campus
Female,18.79,168.89,64.26,White,Environmental Sciences,2000,Campus
Female,20.12,169.49,65.92,White,Economics and Finance,2002,Campus
Female,19.98,170.37,64.92,White,Economics and Finance,2001,Online
Male,21.35,171.1,67.42,White,Economics and Finance,2000,Online
Female,20.48,170.33,64.52,White,Biology,2002,Online
Male,17.99,167.07,64.61,White,Environmental Sciences,2001,Campus
Male,19.26,169.7,65.2,White,Environmental Sciences,2000,Online
Male,19.5,170.19,65.61,White,Social Sciences,2002,Online
Female,19.79,169.76,65.67,White,Mathematics and Statistics,2001,Online
Female,18.77,169.61,64,White,Economics and Finance,2000,Online
Male,20.98,170.46,65.66,White,Environmental Sciences,2002,Campus
Male,19.31,169.42,63.71,White,Political Science,2001,Online
Female,21.37,171.9,66.29,White,Environmental Sciences,2000,Online
Female,20.11,169.61,65.71,White,Political Science,2002,Campus
Female,19.87,170.96,64.54,White,Economics and Finance,2001,Online
Female,20.82,169.59,63.55,White,Biology,2000,Online
Female,20.32,169.58,64.49,White,Economics and Finance,2002,Online
Male,18.46,168.39,64.02,White,Mathematics and Statistics,2001,Online
Male,20.53,171.23,65.51,White,Political Science,2000,Online
Female,20.04,169.14,65.11,White,Economics and Finance,2002,Campus
Male,20.5,170.62,66.76,White,Mathematics and Statistics,2001,Online
Male,19.01,170.3,64.33,White,Mathematics and Statistics,2000,Online
Female,20.77,170.46,64.46,White,Political Science,2002,Online
Male,20.49,170.41,65.63,White,Social Sciences,2001,Campus
Male,22.02,170.01,65.81,White,Biology,2000,Online
Female,21.15,169.79,65.29,White,Social Sciences,2002,Online
Male,20.75,169.5,65.1,White,Mathematics and Statistics,2001,Online
Male,19.96,169.76,64.65,White,Economics and Finance,2000,Online
Female,22.75,172.47,65.9,White,Biology,2002,Online
Female,19.92,170.44,66.38,White,Political Science,2001,Online
Female,19.48,168.75,64.19,White,Environmental Sciences,2000,Online
Female,20.22,170.4,65.14,White,Biology,2002,Campus
Male,19.4,170.08,64.22,White,Mathematics and Statistics,2001,Online
Female,19.68,169.99,65.13,White,Environmental Sciences,2000,Online
Male,20.44,168.61,63.79,White,Mathematics and Statistics,2002,Online
Female,21.48,171.25,66.12,White,Biology,2001,Online
Female,19.35,170.93,63.56,White,Environmental Sciences,2000,Online
Female,20.15,169.91,64.74,White,Biology,2002,Campus
Female,20.78,172,63.98,White,Environmental Sciences,2001,Online
Female,19.31,169.24,64.76,White,Political Science,2000,Online
Female,20.37,168.84,63.93,White,Political Science,2002,Online
Male,20.26,170.86,65.35,White,Environmental Sciences,2001,Campus
Male,20.97,171.23,66.54,White,Mathematics and Statistics,2000,Online
Female,20.12,170.01,65.78,White,Mathematics and Statistics,2002,Online
Female,19.78,170.14,65.56,White,Economics and Finance,2001,Campus
Male,19.42,169.42,65.46,White,Political Science,2000,Campus
Male,20.32,169.41,65.36,White,Political Science,2002,Campus
Female,20.56,171.02,66.66,White,Social Sciences,2001,Online
Male,19.47,168.79,63.73,White,Economics and Finance,2000,Online
Male,19.35,169.77,64.96,White,Environmental Sciences,2002,Campus
Male,20.66,170.74,65.73,White,Economics and Finance,2001,Campus
Female,20.68,170.43,64.59,White,Biology,2000,Campus
Male,20.75,170.73,65.37,White,Mathematics and Statistics,2002,Campus
Male,19.02,169.55,65.39,White,Biology,2001,Campus
Male,19.52,169.78,63.02,White,Economics and Finance,2000,Campus
Female,19.6,170.06,67.1,White,Political Science,2002,Online
Male,20.11,170.71,64.45,White,Social Sciences,2001,Online
Male,20.11,169.39,63.46,White,Economics and Finance,2000,Online
Female,19.09,168.15,63.11,White,Political Science,2002,Campus
Male,19.32,170.99,65.16,White,Economics and Finance,2001,Campus
Male,18.52,169.45,65.58,White,Environmental Sciences,2000,Online
Male,21.21,169.87,64.07,White,Mathematics and Statistics,2002,Online
Male,19.36,169.67,65.55,White,Political Science,2001,Online
Female,20.35,171.59,66.85,White,Political Science,2000,Campus
Female,19.71,170.23,64.15,White,Biology,2002,Online
Male,20.45,169.82,64.02,White,Environmental Sciences,2001,Campus
Male,20.22,169.67,65.78,White,Mathematics and Statistics,2000,Online
Female,19.75,168.76,62.58,White,Biology,2002,Online
Female,19.57,170.07,65.77,White,Social Sciences,2001,Online
Male,19.92,170.58,65.34,White,Social Sciences,2000,Campus
Female,19.84,170.21,65.56,White,Environmental Sciences,2002,Campus
Female,19.12,169.3,63.8,White,Biology,2001,Online
Male,19.5,170.32,65.62,White,Economics and Finance,2000,Campus
Female,20.61,170.18,66.2,White,Political Science,2002,Online
Female,19.17,169.56,63.46,White,Biology,2001,Online
Male,18.3,168.77,62.96,White,Economics and Finance,2000,Online
Female,21.68,170.25,64.87,White,Political Science,2002,Online
Male,19.43,169.54,65.93,White,Social Sciences,2001,Campus
Male,18.53,169.17,64.89,White,Environmental Sciences,2000,Campus
Male,21.5,171.99,68.01,White,Environmental Sciences,2002,Online
Male,20.01,169.13,64.82,White,Environmental Sciences,2001,Campus
Male,18.39,169.97,64.48,White,Mathematics and Statistics,2000,Online
Female,18.9,169.56,63.52,White,Social Sciences,2002,Online
Female,18.86,169.73,64.39,White,Social Sciences,2001,Online
Female,21.03,169.63,63.73,White,Political Science,2000,Online
Male,21.35,169.63,64.46,White,Biology,2002,Campus
Female,20.44,169.89,65.49,White,Political Science,2001,Online
Female,19.24,169.82,64.17,White,Environmental Sciences,2000,Campus
Male,19.36,169.69,63.7,White,Social Sciences,2002,Online
Male,20.55,170.17,66.22,White,Mathematics and Statistics,2001,Online
Female,18.15,168.89,63.87,White,Economics and Finance,2000,Campus
Male,20.63,171.29,65.35,White,Economics and Finance,2002,Online
Male,20.56,169.96,63.85,White,Environmental Sciences,2001,Campus
Female,20.7,171,64,White,Economics and Finance,2000,Online
Male,18.3,170.69,64.87,White,Environmental Sciences,2002,Online
Female,19.54,169.79,63.36,White,Environmental Sciences,2001,Online
Female,20.23,169.86,64.06,White,Social Sciences,2000,Campus
Male,21.09,171.11,65.27,White,Biology,2002,Online
Male,20.53,169.01,64.21,White,Environmental Sciences,2001,Online
Female,20.95,170.21,64.06,White,Biology,2000,Online
Male,20.72,169.95,66.14,White,Environmental Sciences,2002,Online
Female,19.05,169.87,66.69,White,Political Science,2001,Online
Female,20.18,171.86,66.52,White,Social Sciences,2000,Online
Male,20.71,170.44,65.46,White,Biology,2002,Online
Male,18.21,169.88,65.14,White,Mathematics and Statistics,2001,Campus
Male,18.46,168.86,64.55,White,Biology,2000,Campus
Male,19.24,168.81,64.37,White,Mathematics and Statistics,2002,Online
Female,20.76,171.3,64.61,White,Biology,2001,Campus
Female,19.75,169.26,65.09,White,Biology,2000,Online
Male,20.62,169.01,65.5,White,Economics and Finance,2002,Campus
Female,21.2,170.96,66.23,White,Political Science,2001,Online
Female,18.68,169.06,65.17,White,Economics and Finance,2000,Online
Female,20.14,169.86,65.64,White,Social Sciences,2002,Online
Female,20.64,170.96,67.13,White,Biology,2001,Campus
Female,19.96,171.07,64.97,White,Social Sciences,2000,Campus
Male,19.79,170.17,65.57,White,Economics and Finance,2002,Online
Male,19.89,170.37,66.2,White,Biology,2001,Campus
Male,20.56,170.06,65.23,White,Biology,2000,Online
Female,19.42,170.12,65.26,White,Social Sciences,2002,Online
Female,18.72,169.13,64.14,White,Environmental Sciences,2001,Online
Female,20.5,170.16,64.36,White,Social Sciences,2000,Campus
Male,20.69,171.35,66.23,White,Political Science,2002,Online
Male,18.5,167.57,63.98,White,Biology,2001,Online
Male,19.42,168.9,63.85,White,Environmental Sciences,2000,Campus
Male,18.24,167.82,63.88,White,Economics and Finance,2002,Campus
Female,20.21,170.58,65.15,White,Social Sciences,2001,Online
Male,19.48,169.64,67.51,White,Economics and Finance,2000,Campus
Female,20.16,169.92,65.78,White,Environmental Sciences,2002,Online
Female,19.09,168.88,65.51,White,Economics and Finance,2001,Online
Male,20.68,170.72,65.95,White,Mathematics and Statistics,2000,Online
Male,19.84,168.88,63.4,White,Mathematics and Statistics,2002,Campus
Female,20.29,170.07,65.33,White,Political Science,2001,Campus
Male,19.46,169.27,64.87,White,Economics and Finance,2000,Campus
Male,19.97,170.39,64.21,White,Environmental Sciences,2002,Online
Female,20.8,170.71,65.53,White,Biology,2001,Online
Female,19.87,169.95,66.11,White,Biology,2000,Campus
Female,20.76,170.85,65.22,White,Political Science,2002,Campus
Male,22.04,171.27,66.51,White,Economics and Finance,2001,Online
Male,21.19,171.32,66.51,White,Economics and Finance,2000,Campus
Male,20.02,169.44,63.58,White,Political Science,2002,Campus
Male,21.14,170.76,66.17,White,Environmental Sciences,2001,Campus
Male,17.89,169.73,63.56,White,Environmental Sciences,2000,Campus
Male,20.63,169.8,63.97,White,Biology,2002,Campus
Male,19.29,169.48,64.2,White,Environmental Sciences,2001,Online
Male,19.57,170.75,64.77,White,Economics and Finance,2000,Online
Female,18.65,168.75,63.98,White,Political Science,2002,Online
Male,19.36,170.53,64.45,White,Mathematics and Statistics,2001,Online
Female,19.76,170.23,63.7,White,Biology,2000,Campus
Female,20.7,170.89,65.93,White,Environmental Sciences,2002,Online
Male,20.18,170.55,65.06,White,Social Sciences,2001,Online
Female,19.39,170.43,65.32,White,Environmental Sciences,2000,Online
Female,18.8,169.03,64.42,White,Political Science,2002,Campus
Female,20.22,169.75,65.4,White,Social Sciences,2001,Online
Male,20.62,170.64,64.65,White,Biology,2000,Online
Male,20.74,170.61,65.04,White,Environmental Sciences,2002,Campus
Female,18.23,168.65,64.44,White,Political Science,2001,Online
Female,21.49,170.4,64.4,White,Social Sciences,2000,Online
Female,19.63,169.97,65.95,White,Biology,2002,Online
Male,21.08,169.55,65.84,White,Environmental Sciences,2001,Campus
Male,21.66,171.45,65.2,White,Economics and Finance,2000,Online
Male,19.95,170.19,63.6,White,Political Science,2002,Online
Male,19.95,169.39,65.07,White,Biology,2001,Online
Female,20.15,170.87,64.42,White,Biology,2000,Campus
Female,17.52,168.71,63.66,White,Social Sciences,2002,Online
Female,18.73,168.64,64.33,White,Economics and Finance,2001,Online
Female,19.47,169.1,62.73,White,Political Science,2000,Campus
Female,19.48,170.65,65.47,White,Biology,2002,Campus
Male,21.29,170.82,66.03,White,Biology,2001,Campus
Male,19.83,170.33,65.22,White,Economics and Finance,2000,Campus
Male,20.39,171.01,66.64,White,Economics and Finance,2002,Online
Female,20.04,170.84,66.55,White,Political Science,2001,Online
Male,19.63,168.22,63.22,White,Economics and Finance,2000,Campus
Male,19.86,170.87,65.67,White,Political Science,2002,Campus
Female,20.53,170.27,64.97,White,Environmental Sciences,2001,Online
Female,20.84,171.6,64.68,White,Biology,2000,Campus
Male,19.29,169.76,63.22,White,Political Science,2002,Campus
Male,20.41,169.66,62.8,White,Environmental Sciences,2001,Online
Female,19.97,169.98,65.69,White,Political Science,2000,Online
Male,18.7,168.53,62.93,White,Mathematics and Statistics,2002,Online
Female,20.69,169.9,65.09,White,Political Science,2001,Online
Female,20.24,169.96,64.44,White,Social Sciences,2000,Campus
Female,20.14,169.69,65.21,White,Environmental Sciences,2002,Online
Female,19.04,169.07,64.42,White,Biology,2001,Online
Male,20.61,168.98,64.4,White,Mathematics and Statistics,2000,Campus
Female,18.74,167.86,64.41,White,Biology,2002,Online
Male,18.59,169.21,65.48,White,Environmental Sciences,2001,Online
Male,22.47,171.14,65.62,White,Social Sciences,2000,Online
Female,21.41,171.64,64.56,White,Environmental Sciences,2002,Online
Male,20.67,170.17,65.21,White,Biology,2001,Campus
Male,19.32,169.54,64.86,White,Mathematics and Statistics,2000,Campus
Male,18.91,169.77,65.97,White,Environmental Sciences,2002,Campus
Male,19.81,169.3,64.83,White,Environmental Sciences,2001,Online
Male,19.38,169.85,64.28,White,Economics and Finance,2000,Online
Male,20.58,171.26,66.83,White,Social Sciences,2002,Online
Female,21.18,171.66,66.74,White,Social Sciences,2001,Online
